case,category,categoryBig,mistake,freq,interesting,falseValue
адмінісратор,адміністратор,інше,TRUE,1,yes,1534
амдміністратор,адміністратор,інше,TRUE,1,,1534
адміністрвтор,адміністратор,інше,TRUE,1,,1534
админістратор,адміністратор,інше,TRUE,1,yes,1534
адмінінстратор,адміністратор,інше,TRUE,1,,1534
аміністратора,адміністратор,інше,TRUE,1,,1534
адміністротор,адміністратор,інше,TRUE,1,,1534
адмімістратора,адміністратор,інше,TRUE,1,yes,1534
адмністратор,адміністратор,інше,TRUE,1,,1534
адміістратор,адміністратор,інше,TRUE,1,,1534
адменістратор,адміністратор,інше,TRUE,1,yes,1534
адміністратр,адміністратор,інше,TRUE,1,,1534
адмінастратор,адміністратор,інше,TRUE,1,,1534
адаміністратор,адміністратор,інше,TRUE,1,,1534
адміністатор,адміністратор,інше,TRUE,3,,1534
аміністратор,адміністратор,інше,TRUE,3,,1534
адмінітратор,адміністратор,інше,TRUE,3,,1534
адмінстратор,адміністратор,інше,TRUE,5,,1534
адміністратор,адміністратор,інше,FALSE,1534,,1534
ад'ьюнкт,ад'юнкт,апостроф,TRUE,1,,49
ад'юнт,ад'юнкт,апостроф,TRUE,1,,49
ад*юнкт,ад'юнкт,апостроф,TRUE,1,,49
адьюнкт,ад'юнкт,апостроф,TRUE,3,,49
"ад""юнкт",ад'юнкт,апостроф,TRUE,4,,49
адюнкт,ад'юнкт,апостроф,TRUE,9,,49
ад'юнкт,ад'юнкт,апостроф,FALSE,49,,49
бриадир,бригадир,інше,TRUE,1,,632
бригадит,бригадир,інше,TRUE,1,,632
бригадр,бригадир,інше,TRUE,1,,632
бриигадир,бригадир,інше,TRUE,1,,632
брагадир,бригадир,інше,TRUE,1,yes,632
бринадир,бригадир,інше,TRUE,1,,632
бригдир,бригадир,інше,TRUE,2,,632
бригалир,бригадир,інше,TRUE,2,,632
боигадир,бригадир,інше,TRUE,2,,632
брігадир,бригадир,інше,TRUE,3,yes,632
бригодир,бригадир,інше,TRUE,4,yes,632
брегадир,бригадир,інше,TRUE,5,yes,632
бригадір,бригадир,інше,TRUE,5,,632
бригадир,бригадир,інше,FALSE,632,,632
бухгальерського,бухгалтер,інше,TRUE,1,,7577
бухгалтерськог,бухгалтер,інше,TRUE,1,,7577
бухгалтерсаького,бухгалтер,інше,TRUE,1,,7577
букхгалтер,бухгалтер,інше,TRUE,1,yes,7577
бухгалткр,бухгалтер,інше,TRUE,5,,7577
бухггалтер,бухгалтер,інше,TRUE,2,,7577
бухгалтерськогог,бухгалтер,інше,TRUE,1,,7577
блухгалтер,бухгалтер,інше,TRUE,1,yes,7577
бухгалтеоського,бухгалтер,інше,TRUE,1,,7577
бухгалтарського,бухгалтер,інше,TRUE,1,,7577
бухгалтерськоського,бухгалтер,інше,TRUE,1,,7577
бухгалтет,бухгалтер,інше,TRUE,1,yes,7577
бухгалтерьського,бухгалтер,інше,TRUE,1,,7577
бухгалтр,бухгалтер,інше,TRUE,3,,7577
бухгалтерсьткого,бухгалтер,інше,TRUE,1,,7577
бугхгалтер,бухгалтер,інше,TRUE,2,,7577
бухгалтрер,бухгалтер,інше,TRUE,1,,7577
бухгалтнрського,бухгалтер,інше,TRUE,1,,7577
бухгалтерськаго,бухгалтер,інше,TRUE,1,,7577
бухгаптерського,бухгалтер,інше,TRUE,1,,7577
бухглтер,бухгалтер,інше,TRUE,5,,7577
бухлалтер,бухгалтер,інше,TRUE,1,,7577
бухгалтерв,бухгалтер,інше,TRUE,1,,7577
духгалтер,бухгалтер,інше,TRUE,1,,7577
біхгалтер,бухгалтер,інше,TRUE,1,,7577
бухгадтер,бухгалтер,інше,TRUE,1,yes,7577
бухгалтероського,бухгалтер,інше,TRUE,1,,7577
бухгвлтер,бухгалтер,інше,TRUE,1,,7577
бухгалтераського,бухгалтер,інше,TRUE,1,,7577
бухгалрерського,бухгалтер,інше,TRUE,1,,7577
бахгалтер,бухгалтер,інше,TRUE,1,yes,7577
фухгалтерського,бухгалтер,інше,TRUE,1,,7577
бухгалтерсьокго,бухгалтер,інше,TRUE,1,,7577
бухгалтерсокого,бухгалтер,інше,TRUE,1,,7577
буххгалтер,бухгалтер,інше,TRUE,2,,7577
бухгалтеріі,бухгалтер,інше,TRUE,1,,7577
буггалтер,бухгалтер,інше,TRUE,1,,7577
бухгалтур,бухгалтер,інше,TRUE,1,,7577
бухгалтервського,бухгалтер,інше,TRUE,2,,7577
бухгалтерсткого,бухгалтер,інше,TRUE,2,,7577
бухгалтеської,бухгалтер,інше,TRUE,2,,7577
бухгалтерськго,бухгалтер,інше,TRUE,2,,7577
бухгатер,бухгалтер,інше,TRUE,9,yes,7577
бхгалтер,бухгалтер,інше,TRUE,4,,7577
бкхгалтерського,бухгалтер,інше,TRUE,4,,7577
бухгалтерсього,бухгалтер,інше,TRUE,4,,7577
бухгалтерьского,бухгалтер,інше,TRUE,4,,7577
бухгалтерького,бухгалтер,інше,TRUE,5,,7577
бухгалер,бухгалтер,інше,TRUE,14,yes,7577
бухалтер,бухгалтер,інше,TRUE,15,yes,7577
бухгалтеського,бухгалтер,інше,TRUE,13,,7577
бугалтер,бухгалтер,інше,TRUE,27,yes,7577
бухгалтерского,бухгалтер,інше,TRUE,26,,7577
бухгалтер,бухгалтер,інше,FALSE,7577,,7577
ветиринарний,ветеринарний,інше,TRUE,2,yes,109
ветеренарний,ветеринарний,інше,TRUE,3,yes,109
ветеринарной,ветеринарний,інше,TRUE,5,,109
ветеринарний,ветеринарний,інше,FALSE,109,,109
вітлікар,ветлікар,інше,TRUE,2,,80
велікар,ветлікар,інше,TRUE,2,,80
ветлікар,ветлікар,інше,FALSE,80,,80
взвводу,взводу,інше,TRUE,1,yes,2007
взвду,взводу,інше,TRUE,1,yes,2007
взіоду,взводу,інше,TRUE,1,yes,2007
возводу,взводу,інше,TRUE,1,yes,2007
вводу,взводу,інше,TRUE,1,yes,2007
взвону,взводу,інше,TRUE,1,yes,2007
взоводу,взводу,інше,TRUE,2,yes,2007
взвозу,взводу,інше,TRUE,2,yes,2007
взвовду,взводу,інше,TRUE,3,yes,2007
зводу,взводу,інше,TRUE,12,yes,2007
взоду,взводу,інше,TRUE,22,,2007
взвода,взводу,інше,TRUE,28,,2007
взвод,взводу,інше,FALSE,2007,,2007
віддіоення,відділу,інше,TRUE,1,,88049
віддїлення,відділу,інше,TRUE,1,,88049
відлілення,відділу,інше,TRUE,1,,88049
ведділення,відділу,інше,TRUE,1,yes,88049
віддіення,відділу,інше,TRUE,1,,88049
віддлілення,відділу,інше,TRUE,2,,88049
відделення,відділу,інше,TRUE,4,yes,88049
віддідення,відділу,інше,TRUE,7,,88049
віддлення,відділу,інше,TRUE,17,,88049
віддллу,відділу,інше,TRUE,1,,88049
відділелення,відділу,інше,TRUE,1,,88049
віфдділу,відділу,інше,TRUE,1,,88049
відділленя,відділу,інше,TRUE,1,,88049
вівдділу,відділу,інше,TRUE,1,yes,88049
відддлу,відділу,інше,TRUE,1,,88049
виідділу,відділу,інше,TRUE,1,,88049
відділілення,відділу,інше,TRUE,1,,88049
відіілу,відділу,інше,TRUE,1,,88049
вілділу,відділу,інше,TRUE,1,,88049
віддіру,відділу,інше,TRUE,2,yes,88049
відїділу,відділу,інше,TRUE,1,,88049
віджділу,відділу,інше,TRUE,1,,88049
ідділу,відділу,інше,TRUE,1,yes,88049
вйдділу,відділу,інше,TRUE,1,,88049
підділу,відділу,інше,TRUE,1,yes,88049
віцдділу,відділу,інше,TRUE,1,,88049
віддігу,відділу,інше,TRUE,1,,88049
вадділу,відділу,інше,TRUE,3,,88049
віддіпу,відділу,інше,TRUE,1,,88049
відділоу,відділу,інше,TRUE,1,,88049
відділомз,відділу,інше,TRUE,1,,88049
віддіту,відділу,інше,TRUE,1,,88049
віддівлу,відділу,інше,TRUE,1,,88049
авдділу,відділу,інше,TRUE,1,,88049
віддшлу,відділу,інше,TRUE,2,,88049
відділегння,відділу,інше,TRUE,2,,88049
відділененя,відділу,інше,TRUE,2,,88049
відділнення,відділу,інше,TRUE,2,,88049
відділенни,відділу,інше,TRUE,2,,88049
відділеннья,відділу,інше,TRUE,2,,88049
відділкння,відділу,інше,TRUE,2,,88049
відділду,відділу,інше,TRUE,2,,88049
вудділу,відділу,інше,TRUE,3,,88049
відлілу,відділу,інше,TRUE,2,yes,88049
фідділу,відділу,інше,TRUE,2,yes,88049
ввдділу,відділу,інше,TRUE,2,,88049
відділіу,відділу,інше,TRUE,2,,88049
відлділу,відділу,інше,TRUE,2,,88049
відділй,відділу,інше,TRUE,2,,88049
ваідділу,відділу,інше,TRUE,3,,88049
віддвлу,відділу,інше,TRUE,3,,88049
відділиння,відділу,інше,TRUE,8,,88049
відділеняя,відділу,інше,TRUE,4,,88049
відіділу,відділу,інше,TRUE,4,,88049
відделу,відділу,інше,TRUE,5,yes,88049
відділенн,відділу,інше,TRUE,6,,88049
віддилу,відділу,інше,TRUE,9,yes,88049
вілдділу,відділу,інше,TRUE,9,,88049
віддіілу,відділу,інше,TRUE,9,,88049
віддідлу,відділу,інше,TRUE,10,,88049
віідділу,відділу,інше,TRUE,10,,88049
відділння,відділу,інше,TRUE,10,,88049
вііділу,відділу,інше,TRUE,11,,88049
вітділу,відділу,інше,TRUE,21,,88049
видділу,відділу,інше,TRUE,17,yes,88049
віддлілу,відділу,інше,TRUE,19,,88049
віддіу,відділу,інше,TRUE,24,,88049
ввіділу,відділу,інше,TRUE,26,yes,88049
відділа,відділу,інше,TRUE,26,,88049
віддулу,відділу,інше,TRUE,35,,88049
відділлу,відділу,інше,TRUE,36,,88049
відділенння,відділу,інше,TRUE,36,,88049
вдділу,відділу,інше,TRUE,52,,88049
віддіду,відділу,інше,TRUE,46,,88049
віддділу,відділу,інше,TRUE,95,,88049
віддлу,відділу,інше,TRUE,143,,88049
віділу,відділу,інше,TRUE,340,,88049
відділеня,відділу,інше,TRUE,305,,88049
відділення,відділу,інше,FALSE,18091,,88049
відділ,відділу,інше,FALSE,88049,,88049
громаян,громадян,інше,TRUE,1,yes,4895
громадянз,громадян,інше,TRUE,1,,4895
грормадян,громадян,інше,TRUE,1,yes,4895
громадня,громадян,інше,TRUE,1,yes,4895
громаданства,громадян,інше,TRUE,1,yes,4895
громандян,громадян,інше,TRUE,1,yes,4895
громадянтсва,громадян,інше,TRUE,1,,4895
громадін,громадян,інше,TRUE,1,yes,4895
громдян,громадян,інше,TRUE,1,yes,4895
згромадянами,громадян,інше,TRUE,1,,4895
громадяг,громадян,інше,TRUE,1,yes,4895
громаднства,громадян,інше,TRUE,1,,4895
громідян,громадян,інше,TRUE,1,yes,4895
громадаян,громадян,інше,TRUE,1,yes,4895
громядян,громадян,інше,TRUE,1,yes,4895
громаддян,громадян,інше,TRUE,1,,4895
грмадянського,громадян,інше,TRUE,1,,4895
нромадян,громадян,інше,TRUE,1,,4895
громадянта,громадян,інше,TRUE,1,,4895
громадянан,громадян,інше,TRUE,1,,4895
громадям,громадян,інше,TRUE,2,,4895
горомадян,громадян,інше,TRUE,3,,4895
гомадян,громадян,інше,TRUE,3,yes,4895
громодян,громадян,інше,TRUE,30,yes,4895
громадян,громадян,інше,FALSE,4895,,4895
делутат,депутат,інше,TRUE,1,yes,9878
денпутат,депутат,інше,TRUE,1,yes,9878
депудат,депутат,інше,TRUE,1,yes,9878
депутам,депутат,інше,TRUE,1,yes,9878
дептат,депутат,інше,TRUE,1,,9878
депуат,депутат,інше,TRUE,1,yes,9878
депатат,депутат,інше,TRUE,2,yes,9878
дапутат,депутат,інше,TRUE,2,yes,9878
депетат,депутат,інше,TRUE,2,yes,9878
дерутат,депутат,інше,TRUE,3,yes,9878
дипутат,депутат,інше,TRUE,5,yes,9878
депупат,депутат,інше,TRUE,6,yes,9878
дупутат,депутат,інше,TRUE,7,yes,9878
детутат,депутат,інше,TRUE,7,yes,9878
депута,депутат,інше,TRUE,8,,9878
депутут,депутат,інше,TRUE,16,yes,9878
депутат,депутат,інше,FALSE,9878,,9878
дивізону,дивізіону,інше,TRUE,1,,118
дивізвону,дивізіону,інше,TRUE,1,,118
диізіону,дивізіону,інше,TRUE,1,,118
дівізіону,дивізіону,інше,TRUE,2,,118
дивізіона,дивізіону,інше,TRUE,2,,118
девізіону,дивізіону,інше,TRUE,3,,118
дивізіону,дивізіону,інше,FALSE,118,,118
дироктора,директор,інше,TRUE,1,,4815
диретор,директор,інше,TRUE,1,,4815
дироектора,директор,інше,TRUE,1,,4815
дирекутор,директор,інше,TRUE,1,,4815
диектора,директор,інше,TRUE,1,,4815
дитектора,директор,інше,TRUE,1,yes,4815
дируктора,директор,інше,TRUE,1,yes,4815
директрора,директор,інше,TRUE,1,,4815
директораз,директор,інше,TRUE,1,yes,4815
директотра,директор,інше,TRUE,1,yes,4815
дирктор,директор,інше,TRUE,1,,4815
директо,директор,інше,TRUE,2,yes,4815
директр,директор,інше,TRUE,2,,4815
дирекора,директор,інше,TRUE,2,,4815
директра,директор,інше,TRUE,2,yes,4815
диретора,директор,інше,TRUE,3,,4815
діректор,директор,інше,TRUE,6,,4815
деректор,директор,інше,TRUE,13,yes,4815
директор,директор,інше,FALSE,4815,,4815
диспетчетської,диспетчер,інше,TRUE,1,,1175
єнергодиспетчер,диспетчер,інше,TRUE,1,,1175
дистпетчер,диспетчер,інше,TRUE,1,,1175
диспетчерсьго,диспетчер,інше,TRUE,1,,1175
диспетчерскоі,диспетчер,інше,TRUE,1,,1175
дипетчер,диспетчер,інше,TRUE,1,yes,1175
диспетчерской,диспетчер,інше,TRUE,1,,1175
диспетчеризаціі,диспетчер,інше,TRUE,1,,1175
диспетчора,диспетчер,інше,TRUE,1,yes,1175
дистетчерського,диспетчер,інше,TRUE,1,,1175
диспедчер,диспетчер,інше,TRUE,1,,1175
дисперчер,диспетчер,інше,TRUE,2,,1175
деспетчер,диспетчер,інше,TRUE,2,yes,1175
диспетер,диспетчер,інше,TRUE,3,,1175
диспетчир,диспетчер,інше,TRUE,3,yes,1175
диспетчерского,диспетчер,інше,TRUE,4,,1175
диспетчерскої,диспетчер,інше,TRUE,5,,1175
діспетчер,диспетчер,інше,TRUE,19,yes,1175
диспечер,диспетчер,інше,TRUE,53,yes,1175
диспетчер,диспетчер,інше,FALSE,1175,,1175
енономіст,економіст,інше,TRUE,1,yes,1459
екониміст,економіст,інше,TRUE,1,yes,1459
екеноміст,економіст,інше,TRUE,1,yes,1459
економіс,економіст,інше,TRUE,1,,1459
екомоміст,економіст,інше,TRUE,1,yes,1459
еономіст,економіст,інше,TRUE,1,yes,1459
економіт,економіст,інше,TRUE,1,,1459
еконгоміст,економіст,інше,TRUE,1,yes,1459
еконотіст,економіст,інше,TRUE,1,yes,1459
екноміст,економіст,інше,TRUE,1,,1459
економист,економіст,інше,TRUE,4,yes,1459
єкономіст,економіст,інше,TRUE,10,yes,1459
економіст,економіст,інше,FALSE,1459,,1459
електромеханій,електромеханік,інше,TRUE,2,,470
злектромеханік,електромеханік,інше,TRUE,2,,470
едектромеханік,електромеханік,інше,TRUE,2,,470
електромханік,електромеханік,інше,TRUE,2,,470
електромиханік,електромеханік,інше,TRUE,2,yes,470
електромеханїк,електромеханік,інше,TRUE,2,,470
електромехенік,електромеханік,інше,TRUE,2,yes,470
електроміханік,електромеханік,інше,TRUE,4,yes,470
електомеханік,електромеханік,інше,TRUE,4,,470
елктромеханік,електромеханік,інше,TRUE,4,,470
електромеханнік,електромеханік,інше,TRUE,6,,470
елетромеханік,електромеханік,інше,TRUE,6,,470
елекромеханік,електромеханік,інше,TRUE,8,,470
єлектромеханік,електромеханік,інше,TRUE,14,,470
електромеханик,електромеханік,інше,TRUE,22,,470
електромеханік,електромеханік,інше,FALSE,470,,470
зв'язоку,зв'язку,апостроф,TRUE,1,,2066
єлектрозв'язку,зв'язку,апостроф,TRUE,1,,2066
електорозв'язку,зв'язку,апостроф,TRUE,1,,2066
зв'язу,зв'язку,апостроф,TRUE,1,,2066
з'язку,зв'язку,апостроф,TRUE,2,,2066
ектрозв'язку,зв'язку,апостроф,TRUE,1,,2066
звьязку,зв'язку,апостроф,TRUE,2,,2066
зв'яку,зв'язку,апостроф,TRUE,5,,2066
зв'зку,зв'язку,апостроф,TRUE,11,,2066
зв*язку,зв'язку,апостроф,TRUE,19,,2066
"зв""язку",зв'язку,апостроф,TRUE,126,,2066
звязку,зв'язку,апостроф,TRUE,459,,2066
зв'язку,зв'язку,апостроф,FALSE,2066,,2066
"здоров""я",здоров'я,апостроф,TRUE,1,,399
здоров',здоров'я,апостроф,TRUE,1,,399
здаров'я,здоров'я,апостроф,TRUE,1,,399
здоровь'я,здоров'я,апостроф,TRUE,2,,399
здоро'я,здоров'я,апостроф,TRUE,2,,399
здоровья,здоров'я,апостроф,TRUE,3,,399
здоров*я,здоров'я,апостроф,TRUE,6,,399
"здоров""я",здоров'я,апостроф,TRUE,53,,399
здоровя,здоров'я,апостроф,TRUE,59,,399
здоров'я,здоров'я,апостроф,FALSE,399,,399
інжененер,інженер,інше,TRUE,1,,3812
ірженер,інженер,інше,TRUE,1,,3812
інженеоної,інженер,інше,TRUE,1,,3812
інженернох,інженер,інше,TRUE,1,,3812
іинженер,інженер,інше,TRUE,1,,3812
інжененрно,інженер,інше,TRUE,1,,3812
інженерінг,інженер,інше,TRUE,1,,3812
інденер,інженер,інше,TRUE,1,yes,3812
інжкнер,інженер,інше,TRUE,1,,3812
інжененрної,інженер,інше,TRUE,1,,3812
інженере,інженер,інше,TRUE,1,yes,3812
інжнерної,інженер,інше,TRUE,1,,3812
інжерер,інженер,інше,TRUE,1,,3812
іиженер,інженер,інше,TRUE,1,,3812
інженено,інженер,інше,TRUE,1,,3812
інжене,інженер,інше,TRUE,1,,3812
інжернер,інженер,інше,TRUE,1,,3812
їнженер,інженер,інше,TRUE,2,,3812
інженр,інженер,інше,TRUE,3,,3812
інхенер,інженер,інше,TRUE,2,,3812
індженер,інженер,інше,TRUE,2,,3812
іінженер,інженер,інше,TRUE,3,,3812
інеженер,інженер,інше,TRUE,3,,3812
інжененр,інженер,інше,TRUE,3,,3812
інжнер,інженер,інше,TRUE,4,,3812
іженер,інженер,інше,TRUE,8,,3812
інжінер,інженер,інше,TRUE,6,yes,3812
инженер,інженер,інше,TRUE,48,yes,3812
інжинер,інженер,інше,TRUE,50,yes,3812
інженер,інженер,інше,FALSE,3812,,3812
інспекторт,інспектор,інше,TRUE,1,yes,21651
інсаектор,інспектор,інше,TRUE,1,,21651
інснектор,інспектор,інше,TRUE,1,,21651
інпспектор,інспектор,інше,TRUE,1,,21651
інспекетор,інспектор,інше,TRUE,1,,21651
інспнектор,інспектор,інше,TRUE,1,,21651
інспєктор,інспектор,інше,TRUE,1,yes,21651
інспекторськоі,інспектор,інше,TRUE,1,,21651
інспекрор,інспектор,інше,TRUE,1,,21651
інспелтор,інспектор,інше,TRUE,2,,21651
ніспектор,інспектор,інше,TRUE,1,yes,21651
ігспектор,інспектор,інше,TRUE,1,,21651
інскектор,інспектор,інше,TRUE,1,,21651
інінспектор,інспектор,інше,TRUE,1,,21651
інспекторвоа,інспектор,інше,TRUE,1,,21651
іпспектор,інспектор,інше,TRUE,1,,21651
иннспектор,інспектор,інше,TRUE,1,,21651
інспекитор,інспектор,інше,TRUE,1,yes,21651
інспнктор,інспектор,інше,TRUE,1,,21651
інспректор,інспектор,інше,TRUE,1,yes,21651
інспектотр,інспектор,інше,TRUE,1,,21651
інвспектор,інспектор,інше,TRUE,1,,21651
інспкктор,інспектор,інше,TRUE,1,,21651
інеспектор,інспектор,інше,TRUE,1,,21651
інгспектор,інспектор,інше,TRUE,1,,21651
інспеторів,інспектор,інше,TRUE,1,,21651
інсвпектор,інспектор,інше,TRUE,1,,21651
інсмектор,інспектор,інше,TRUE,1,yes,21651
інспектрського,інспектор,інше,TRUE,1,,21651
инспекторского,інспектор,інше,TRUE,1,,21651
унспектор,інспектор,інше,TRUE,1,yes,21651
інспектопр,інспектор,інше,TRUE,1,,21651
інспекстор,інспектор,інше,TRUE,1,,21651
внспектор,інспектор,інше,TRUE,1,,21651
інслектор,інспектор,інше,TRUE,1,,21651
иінспектор,інспектор,інше,TRUE,1,,21651
інспектрр,інспектор,інше,TRUE,1,,21651
інспестор,інспектор,інше,TRUE,1,yes,21651
інспектар,інспектор,інше,TRUE,1,yes,21651
інсепектор,інспектор,інше,TRUE,1,,21651
існспектор,інспектор,інше,TRUE,2,,21651
інспекпор,інспектор,інше,TRUE,2,yes,21651
інспектоа,інспектор,інше,TRUE,2,,21651
инспектора,інспектор,інше,TRUE,2,,21651
інспекттор,інспектор,інше,TRUE,2,,21651
інсспектор,інспектор,інше,TRUE,2,,21651
іниспектор,інспектор,інше,TRUE,2,,21651
інспекиор,інспектор,інше,TRUE,2,,21651
іннспектор,інспектор,інше,TRUE,2,,21651
інчпектор,інспектор,інше,TRUE,2,yes,21651
іеспектор,інспектор,інше,TRUE,3,,21651
інспекртор,інспектор,інше,TRUE,3,,21651
інспенктор,інспектор,інше,TRUE,3,,21651
інспектов,інспектор,інше,TRUE,3,,21651
інмпектор,інспектор,інше,TRUE,3,,21651
інстектор,інспектор,інше,TRUE,3,yes,21651
ірспектор,інспектор,інше,TRUE,3,,21651
інспектоор,інспектор,інше,TRUE,3,,21651
інспактор,інспектор,інше,TRUE,3,yes,21651
інспекторз,інспектор,інше,TRUE,3,,21651
інспектрор,інспектор,інше,TRUE,5,,21651
іінспектор,інспектор,інше,TRUE,4,,21651
інсппектор,інспектор,інше,TRUE,4,,21651
інспекторо,інспектор,інше,TRUE,4,yes,21651
інспертор,інспектор,інше,TRUE,6,yes,21651
інсректор,інспектор,інше,TRUE,7,,21651
інстпектор,інспектор,інше,TRUE,8,,21651
інспектро,інспектор,інше,TRUE,7,yes,21651
інсперктор,інспектор,інше,TRUE,8,,21651
їнспектор,інспектор,інше,TRUE,11,,21651
інспектр,інспектор,інше,TRUE,16,yes,21651
нспектор,інспектор,інше,TRUE,17,,21651
інспктор,інспектор,інше,TRUE,20,,21651
інсектор,інспектор,інше,TRUE,28,yes,21651
інспекто,інспектор,інше,TRUE,29,yes,21651
інспекор,інспектор,інше,TRUE,35,yes,21651
інспетор,інспектор,інше,TRUE,48,,21651
інпектор,інспектор,інше,TRUE,63,yes,21651
іспектор,інспектор,інше,TRUE,85,,21651
инспектор,інспектор,інше,TRUE,131,,21651
інспектор,інспектор,інше,FALSE,21651,,21651
